material,image_type,archive_path,sha256,data_size,pixel_size_nm_per_pixel,fov_um,magnification,accelerating_voltage,condition,scale_bar_um,measured_major_um,measured_minor_um,measured_thickness_nm,measurement_status
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5405.tif,be6e61a8e53f3a13caa64223343344ecc22b5d45210d06135b1cfa9b59264940,1280x960,1.984375,2.54,50000,5000 Volt,Vacc=5.00kV Mag=x50.0k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5406.tif,855b4c75b37d2a8bd42b1819600d404054716ba0d16b74723edccb5c2d5d7937,1280x960,0.9921875,1.27,100000,5000 Volt,Vacc=5.00kV Mag=x100k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5407.tif,dd14925dc42be0fd781c1e21e786be167c18a03e407c29d54a61110bcaf3842e,1280x960,3.307292,4.23,30000,5000 Volt,Vacc=5.00kV Mag=x30.0k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5408.tif,819220365abfcf20231c049fe5407654b4e6aa9086fb34b86453d9083102ca0b,1280x960,19.84375,25.4,5000,5000 Volt,Vacc=5.00kV Mag=x5.00k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5409.tif,0a74ee04bed057f1bf75c5072f2c5b86b46590f1fc85e30abb4b28227daf17b3,1280x960,9.921875,12.7,10000,5000 Volt,Vacc=5.00kV Mag=x10.0k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5410.tif,0f6f9d5f7e69146af25d1743cc9438b5f2dc6e4595f71c056415185d566d33f7,1280x960,1.984375,2.54,50000,5000 Volt,Vacc=5.00kV Mag=x50.0k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5411.tif,06b3f9e94c1a4656d02ae777c681529391e853196cb4f647ac49da5d97d3a817,1280x960,3.307292,4.23,30000,5000 Volt,Vacc=5.00kV Mag=x30.0k WD=9.0mm,,,,,pending_manual_annotation
BiOBr,SEM,SEM/20260310-SEM/2-Br-SEM/5_5418.tif,5ca1c528cf6098f25d27b34ae934e92c63b36ea189a26bac2e800e580ccff31d,1280x960,4.960938,6.35,20000,20000 Volt,Vacc=20.00kV Mag=x20.0k WD=14.5mm,,,,,pending_manual_annotation
BiOBr,TEM,TEM/数据处理/BiOBr/1-1.dm3,60a7e4a079b668b9e0d9858350f68342ce76a419bb39471fc4519e600a00fff0,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-1.tif,89bb567874d99ab9849042a085dca409b1ee0c0a0de2b0b78dbc1eff74c9854e,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-10.dm3,c3d614b448df1bc36217d6f1385889c08cb2a750b99c39dd3db780f5cbe4a331,,,,,,,,,,,scale_bar_manual
BiOBr,TEM,TEM/数据处理/BiOBr/1-10.tif,6a1cf4171127dc350987f34c4d40527d3b466dd0765c802347dfb5d374d1e10b,,,,,,,,,,,scale_bar_manual
