material,epsilon_mode,pressure_mpa,thickness_nm,epsilon_r_t_zz,e33_c_per_m2,d33_c_per_n,d33_pm_per_v,delta_v_v,delta_v_mv,g_eff_vm_per_n,analytic_order
BiOCl,prompt,10.0,5.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,5.827773632635628e-06,0.005827773632635628,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,10.0,5.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,3.565560656417568e-05,0.03565560656417568,0.0007131121312835136,BiOBr>BiOI>BiOCl
BiOI,prompt,10.0,5.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,2.4990725035361785e-05,0.024990725035361785,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,10.0,10.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,1.1655547265271257e-05,0.011655547265271257,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,10.0,10.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,7.131121312835136e-05,0.07131121312835136,0.0007131121312835136,BiOBr>BiOI>BiOCl
BiOI,prompt,10.0,10.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,4.998145007072357e-05,0.04998145007072357,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,10.0,20.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,2.3311094530542513e-05,0.023311094530542514,0.00011655547265271257,BiOBr>BiOI>BiOCl
BiOBr,prompt,10.0,20.0,5.413003088627167,0.00069,3.417785708196605e-14,0.03417785708196605,0.00014262242625670272,0.1426224262567027,0.0007131121312835136,BiOBr>BiOI>BiOCl
BiOI,prompt,10.0,20.0,6.2370025797887365,0.00067,2.760155217788116e-14,0.02760155217788116,9.996290014144714e-05,0.09996290014144714,0.0004998145007072357,BiOBr>BiOI>BiOCl
BiOCl,prompt,25.0,5.0,13.120001031710608,0.0005,1.3539894141385024e-14,0.013539894141385024,1.456943408158907e-05,0.014569434081589071,0.00011655547265271257,BiOBr>BiOI>BiOCl
