material,metric,slope_unit,slope,intercept,r2,origin_slope
BiOCl,delta_v_mv,mV/MPa,0.0005356534639435786,6.938893903907228e-18,1.0,0.0005356534639435787
BiOCl,top_avg_abs_ez_kv_per_m,kV m^-1/MPa,0.09218422631393956,0.0,1.0,0.09218422631393958
BiOCl,top_avg_abs_pz_uC_per_m2,microC m^-2/MPa,0.010633053823862792,1.1102230246251565e-16,1.0,0.010633053823862792
BiOCl,max_mises_mpa,MPa/MPa,1.6422930583256241,0.0,1.0,1.642293058325624
BiOBr,delta_v_mv,mV/MPa,0.0017765209503225754,0.0,1.0,0.0017765209503225756
BiOBr,top_avg_abs_ez_kv_per_m,kV m^-1/MPa,0.31370569642832163,0.0,1.0,0.3137056964283216
BiOBr,top_avg_abs_pz_uC_per_m2,microC m^-2/MPa,0.02749359630870414,4.440892098500626e-16,1.0,0.027493596308704144
BiOBr,max_mises_mpa,MPa/MPa,1.7403185430858765,0.0,1.0,1.740318543085877
BiOI,delta_v_mv,mV/MPa,0.0015209978029583561,0.0,1.0,0.0015209978029583563
BiOI,top_avg_abs_ez_kv_per_m,kV m^-1/MPa,0.27957181166869144,0.0,1.0,0.27957181166869144
BiOI,top_avg_abs_pz_uC_per_m2,microC m^-2/MPa,0.023443200316652986,-4.440892098500626e-16,1.0,0.023443200316652986
BiOI,max_mises_mpa,MPa/MPa,1.4047164798634455,0.0,1.0,1.4047164798634455
