material,epsilon_mode,pressure_mpa,delta_v_mv,top_avg_abs_ez_kv_per_m,top_avg_abs_pz_uC_per_m2,max_mises_mpa,top_average_w_pm,model_file
BiOBr,vasp-total,25.0,0.044413023758064385,7.842642410708042,0.6873399077176037,43.507963577146946,-4.736500323416947,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p25_t5\BiOBr_piezo_final.mph
BiOBr,vasp-total,50.0,0.08882604751612877,15.685284821416081,1.3746798154352073,87.01592715429383,-9.473000646833894,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p50_t5\BiOBr_piezo_final.mph
BiOBr,vasp-total,100.0,0.17765209503225754,31.370569642832162,2.7493596308704147,174.03185430858767,-18.946001293667788,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOBr_piezo_final.mph
BiOBr,vasp-total,200.0,0.3553041900645151,62.741139285664325,5.4987192617408285,348.06370861717534,-37.892002587335575,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p200_t5\BiOBr_piezo_final.mph
BiOCl,vasp-total,25.0,0.013391336598589466,2.304605657848489,0.2658263455965698,41.0573264581406,-2.533395322461863,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p25_t5\BiOCl_piezo_final.mph
BiOCl,vasp-total,50.0,0.026782673197178933,4.609211315696978,0.5316526911931396,82.1146529162812,-5.066790644923726,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p50_t5\BiOCl_piezo_final.mph
BiOCl,vasp-total,100.0,0.053565346394357866,9.218422631393956,1.0633053823862793,164.2293058325624,-10.133581289847452,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOCl_piezo_final.mph
BiOCl,vasp-total,200.0,0.10713069278871573,18.436845262787912,2.1266107647725585,328.4586116651248,-20.267162579694904,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p200_t5\BiOCl_piezo_final.mph
BiOI,vasp-total,25.0,0.038024945073958906,6.989295291717285,0.5860800079163246,35.11791199658614,-4.188376620160153,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p25_t5\BiOI_piezo_final.mph
BiOI,vasp-total,50.0,0.07604989014791781,13.978590583434572,1.1721600158326493,70.23582399317227,-8.376753240320307,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p50_t5\BiOI_piezo_final.mph
BiOI,vasp-total,100.0,0.15209978029583562,27.95718116686914,2.3443200316652977,140.47164798634455,-16.753506480640613,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOI_piezo_final.mph
BiOI,vasp-total,200.0,0.30419956059167125,55.91436233373829,4.688640063330597,280.9432959726891,-33.50701296128123,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p200_t5\BiOI_piezo_final.mph
