material,epsilon_mode,pressure_mpa,thickness_nm,max_abs_ez_v_per_m,top_avg_ez_v_per_m,top_avg_abs_ez_v_per_m,max_norm_e_v_per_m,top_avg_norm_e_v_per_m,top_avg_dz_c_per_m2,top_avg_abs_dz_c_per_m2,max_abs_pz_c_per_m2,top_avg_pz_c_per_m2,top_avg_abs_pz_c_per_m2,top_avg_exx,top_avg_eyy,top_avg_ezz,model_file
BiOCl,vasp-electronic,100.0,5.0,33341.07387329207,23100.508519574512,23100.508519574512,33432.53750063157,23130.76315949601,5.365264533464148e-09,1.1745778406589847e-08,1.8783869388246079e-06,-1.0633053010864242e-06,1.0633053010864242e-06,0.0001223911205255474,0.00010098753608095915,-0.002088675299468881,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-electronic_p100_t5\BiOCl_piezo_final.mph
BiOBr,vasp-electronic,100.0,5.0,76320.25892417868,57613.47265013881,57613.47265013881,76466.0505963632,57673.58674688648,1.1814552766326407e-08,2.7174419712769004e-08,4.687647335159333e-06,-2.7493590991671876e-06,2.7493590991671876e-06,0.00017593840328302988,0.0001439927108736112,-0.00389673010245076,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-electronic_p100_t5\BiOBr_piezo_final.mph
BiOI,vasp-electronic,100.0,5.0,52693.965348016325,42630.984642053496,42630.984642053496,52764.86019478136,42652.27381803913,9.868174943105674e-09,1.8383721376291275e-08,3.540806199774585e-06,-2.3443197816199796e-06,2.3443197816199796e-06,0.00013152524620976843,0.0001006002268527632,-0.003399791651403186,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-electronic_p100_t5\BiOI_piezo_final.mph
BiOCl,vasp-total,25.0,5.0,3170.231655650625,2304.605657848489,2304.605657848489,3171.9325075435304,2306.0400091478814,1.8919369565209814e-09,4.315583934462218e-09,4.69596789501868e-07,-2.658263455965698e-07,2.658263455965698e-07,3.0597785190150216e-05,2.5246884694404773e-05,-0.0005221688625492041,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p25_t5\BiOCl_piezo_final.mph
BiOBr,vasp-total,25.0,5.0,9948.531858509694,7842.642410708042,7842.642410708042,9953.623197054745,7845.791701921955,4.4275410420226405e-09,1.115078549975406e-08,1.1719121349905863e-06,-6.873399077176037e-07,6.873399077176037e-07,4.3984617321385326e-05,3.599818387750348e-05,-0.0009741827091681649,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p25_t5\BiOBr_piezo_final.mph
BiOI,vasp-total,25.0,5.0,8364.596309582947,6989.295291717285,6989.295291717285,8366.451315250126,6990.5661575234235,3.5519258438515426e-09,7.382530741748662e-09,8.8520168468234e-07,-5.860800079163247e-07,5.860800079163247e-07,3.288132015175779e-05,2.5150059475628715e-05,-0.000849947999779777,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p25_t5\BiOI_piezo_final.mph
BiOCl,vasp-total,50.0,5.0,6340.46331130125,4609.211315696978,4609.211315696978,6343.865015087061,4612.080018295763,3.783873913041971e-09,8.631167868924443e-09,9.39193579003736e-07,-5.316526911931397e-07,5.316526911931397e-07,6.119557038030043e-05,5.0493769388809545e-05,-0.0010443377250984082,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p50_t5\BiOCl_piezo_final.mph
BiOBr,vasp-total,50.0,5.0,19897.063717019388,15685.28482141608,15685.28482141608,19907.24639410949,15691.583403843908,8.855082084045329e-09,2.230157099950818e-08,2.3438242699811726e-06,-1.3746798154352073e-06,1.3746798154352073e-06,8.796923464277068e-05,7.199636775500693e-05,-0.00194836541833633,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p50_t5\BiOBr_piezo_final.mph
BiOI,vasp-total,50.0,5.0,16729.192619165893,13978.590583434572,13978.590583434572,16732.90263050025,13981.132315046847,7.1038516877031175e-09,1.4765061483497356e-08,1.77040336936468e-06,-1.1721600158326494e-06,1.1721600158326494e-06,6.576264030351557e-05,5.0300118951257437e-05,-0.0016998959995595535,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\sweep_vasp-total_p50_t5\BiOI_piezo_final.mph
BiOCl,vasp-total,100.0,5.0,12680.9266226025,9218.422631393956,9218.422631393956,12687.730030174122,9224.160036591526,7.567747826083929e-09,1.7262335737848882e-08,1.878387158007472e-06,-1.0633053823862793e-06,1.0633053823862793e-06,0.00012239114076060084,0.00010098753877761906,-0.0020886754501968164,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOCl_piezo_final.mph
