material,pressure_mpa,delta_v_uV,source
BiOBr,0.0,0.0,exact unloaded baseline
BiOBr,20.0,70.71794680221522,COMSOL 6.3 stationary solve at 20 MPa
BiOBr,40.0,141.43589360443045,COMSOL 6.3 stationary solve at 40 MPa
BiOBr,60.0,212.15384040664568,COMSOL 6.3 stationary solve at 60 MPa
BiOBr,80.0,282.8717872088609,COMSOL 6.3 stationary solve at 80 MPa
BiOBr,100.0,353.58973401107625,COMSOL 6.3 stationary solve at 100 MPa
BiOCl,0.0,0.0,exact unloaded baseline
BiOCl,20.0,10.713043047150327,COMSOL 6.3 stationary solve at 20 MPa
BiOCl,40.0,21.426086094300654,COMSOL 6.3 stationary solve at 40 MPa
BiOCl,60.0,32.13912914145099,COMSOL 6.3 stationary solve at 60 MPa
BiOCl,80.0,42.85217218860131,COMSOL 6.3 stationary solve at 80 MPa
BiOCl,100.0,53.56521523575165,COMSOL 6.3 stationary solve at 100 MPa
BiOI,0.0,0.0,exact unloaded baseline
BiOI,20.0,49.38107981434082,COMSOL 6.3 stationary solve at 20 MPa
BiOI,40.0,98.76215962868164,COMSOL 6.3 stationary solve at 40 MPa
BiOI,60.0,148.14323944302248,COMSOL 6.3 stationary solve at 60 MPa
BiOI,80.0,197.5243192573633,COMSOL 6.3 stationary solve at 80 MPa
BiOI,100.0,246.90539907170412,COMSOL 6.3 stationary solve at 100 MPa
