material,pressure_mpa,delta_v_uV,source
BiOBr,0.0,0.0,exact unloaded baseline
BiOBr,20.0,70.71794680221522,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p20_t5\BiOX_COMSOL_results.csv
BiOBr,40.0,141.43589360443045,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p40_t5\BiOX_COMSOL_results.csv
BiOBr,60.0,212.15384040664568,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p60_t5\BiOX_COMSOL_results.csv
BiOBr,80.0,282.8717872088609,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p80_t5\BiOX_COMSOL_results.csv
BiOBr,100.0,353.58973401107625,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p100_t5\BiOX_COMSOL_results.csv
BiOCl,0.0,0.0,exact unloaded baseline
BiOCl,20.0,10.713043047150327,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p20_t5\BiOX_COMSOL_results.csv
BiOCl,40.0,21.426086094300654,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p40_t5\BiOX_COMSOL_results.csv
BiOCl,60.0,32.13912914145099,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p60_t5\BiOX_COMSOL_results.csv
BiOCl,80.0,42.85217218860131,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p80_t5\BiOX_COMSOL_results.csv
BiOCl,100.0,53.56521523575165,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p100_t5\BiOX_COMSOL_results.csv
BiOI,0.0,0.0,exact unloaded baseline
BiOI,20.0,49.38107981434082,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p20_t5\BiOX_COMSOL_results.csv
BiOI,40.0,98.76215962868164,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p40_t5\BiOX_COMSOL_results.csv
BiOI,60.0,148.14323944302248,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p60_t5\BiOX_COMSOL_results.csv
BiOI,80.0,197.5243192573633,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p80_t5\BiOX_COMSOL_results.csv
BiOI,100.0,246.90539907170412,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Publication_Figures\runs\prompt_p100_t5\BiOX_COMSOL_results.csv
